date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:44:38	106301/106301	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2013%20Feb%202026%2018:14:38%20GMT	https://stradarkmond.litrix.dev/	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/index.html	(from )
23:44:39	2054/2054	---MCZ	200	added ('OK')	application/json	date:Fri,%2013%20Feb%202026%2018:14:40%20GMT	https://stradarkmond.litrix.dev/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fstradarkmond.litrix.dev%2F	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/wp-json/oembed/1.0/embed7496.json	(from https://stradarkmond.litrix.dev/)
23:44:39	1672/1672	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2270d06604285eb3a2aca6c4b9265ec2dd%22	https://stradarkmond.litrix.dev/feed/	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/feed/index.html	(from https://stradarkmond.litrix.dev/)
23:44:40	1653/1653	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2270d06604285eb3a2aca6c4b9265ec2dd%22	https://stradarkmond.litrix.dev/comments/feed/	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/comments/feed/index.html	(from https://stradarkmond.litrix.dev/)
23:44:40	2194/2194	---MCZ	200	added ('OK')	text/xml	date:Fri,%2013%20Feb%202026%2018:14:41%20GMT	https://stradarkmond.litrix.dev/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fstradarkmond.litrix.dev%2F&format=xml	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/wp-json/oembed/1.0/embed0289	(from https://stradarkmond.litrix.dev/)
23:44:40	54564/54564	---MCZ	200	added ('OK')	text/css	date:Fri,%2009%20Jan%202026%2011:21:59%20GMT	https://stradarkmond.litrix.dev/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.34.1	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/wp-content/plugins/elementor/assets/css/frontend.min1504.css	(from https://stradarkmond.litrix.dev/)
23:44:41	19823/19823	---MCZ	200	added ('OK')	text/css	date:Fri,%2013%20Feb%202026%2017:33:48%20GMT	https://stradarkmond.litrix.dev/wp-content/uploads/elementor/css/post-51.css?ver=1771004028	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/wp-content/uploads/elementor/css/post-515dbe.css	(from https://stradarkmond.litrix.dev/)
23:44:41	24688/24688	---MCZ	200	added ('OK')	text/css	date:Fri,%2013%20Feb%202026%2017:33:48%20GMT	https://stradarkmond.litrix.dev/wp-content/uploads/elementor/css/post-54.css?ver=1771004028	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/wp-content/uploads/elementor/css/post-545dbe.css	(from https://stradarkmond.litrix.dev/)
23:44:41	59344/59344	---MCZ	200	added ('OK')	text/css	date:Fri,%2009%20Jan%202026%2011:22:00%20GMT	https://stradarkmond.litrix.dev/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.34.1	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min1504.css	(from https://stradarkmond.litrix.dev/)
23:44:41	26702/26702	---MCZ	200	added ('OK')	text/css	date:Fri,%2009%20Jan%202026%2011:22:00%20GMT	https://stradarkmond.litrix.dev/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.34.1	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min1504.css	(from https://stradarkmond.litrix.dev/)
23:44:41	577/577	---MCZ	200	added ('OK')	text/css	date:Fri,%2009%20Jan%202026%2011:22:06%20GMT	https://stradarkmond.litrix.dev/wp-content/plugins/popup-builder-block/build/popup/global.css?ver=2.2.2	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/wp-content/plugins/popup-builder-block/build/popup/global605a.css	(from https://stradarkmond.litrix.dev/)
23:44:43	1227/1227	---MCZ	200	added ('OK')	text/css	date:Fri,%2009%20Jan%202026%2011:22:06%20GMT	https://stradarkmond.litrix.dev/wp-content/plugins/popup-builder-block/build/compatibility/frontend.css?ver=3d448a7df93bfa355643	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/wp-content/plugins/popup-builder-block/build/compatibility/frontendc144.css	(from https://stradarkmond.litrix.dev/)
23:44:43	44907/44907	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Nov%202025%2007:13:13%20GMT	https://stradarkmond.litrix.dev/wp-content/plugins/qi-addons-for-elementor/assets/css/grid.min.css?ver=1.9.5	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/wp-content/plugins/qi-addons-for-elementor/assets/css/grid.minbb23.css	(from https://stradarkmond.litrix.dev/)
23:44:44	31211/31211	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Nov%202025%2007:13:13%20GMT	https://stradarkmond.litrix.dev/wp-content/plugins/qi-addons-for-elementor/assets/css/helper-parts.min.css?ver=1.9.5	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/wp-content/plugins/qi-addons-for-elementor/assets/css/helper-parts.minbb23.css	(from https://stradarkmond.litrix.dev/)
23:44:44	277962/277962	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Nov%202025%2007:13:13%20GMT	https://stradarkmond.litrix.dev/wp-content/plugins/qi-addons-for-elementor/assets/css/main.min.css?ver=1.9.5	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/wp-content/plugins/qi-addons-for-elementor/assets/css/main.minbb23.css	(from https://stradarkmond.litrix.dev/)
23:44:44	4719/4719	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Dec%202025%2011:41:03%20GMT	https://stradarkmond.litrix.dev/wp-content/plugins/metform/public/assets/lib/cute-alert/style.css?ver=4.1.0	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/wp-content/plugins/metform/public/assets/lib/cute-alert/stylebfce.css	(from https://stradarkmond.litrix.dev/)
23:44:44	22474/22474	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Dec%202025%2011:41:03%20GMT	https://stradarkmond.litrix.dev/wp-content/plugins/metform/public/assets/css/text-editor.css?ver=4.1.0	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/wp-content/plugins/metform/public/assets/css/text-editorbfce.css	(from https://stradarkmond.litrix.dev/)
23:44:45	25692/25692	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Dec%202025%2011:41:14%20GMT	https://stradarkmond.litrix.dev/wp-content/plugins/wp-ultimate-review/assets/public/css/content-page.css?ver=2.3.7	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/wp-content/plugins/wp-ultimate-review/assets/public/css/content-pagec0b8.css	(from https://stradarkmond.litrix.dev/)
23:44:45	59004/59004	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Dec%202025%2007:15:29%20GMT	https://stradarkmond.litrix.dev/wp-includes/css/dashicons.min.css?ver=6.9.1	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/wp-includes/css/dashicons.min4d80.css	(from https://stradarkmond.litrix.dev/)
23:44:45	5456/5456	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Nov%202025%2009:32:56%20GMT	https://stradarkmond.litrix.dev/wp-content/themes/hello-elementor/assets/css/reset.css?ver=3.4.5	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/wp-content/themes/hello-elementor/assets/css/reset4c8b.css	(from https://stradarkmond.litrix.dev/)
23:44:45	5097/5097	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Nov%202025%2009:32:56%20GMT	https://stradarkmond.litrix.dev/wp-content/themes/hello-elementor/assets/css/theme.css?ver=3.4.5	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/wp-content/themes/hello-elementor/assets/css/theme4c8b.css	(from https://stradarkmond.litrix.dev/)
23:44:45	7182/7182	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Nov%202025%2009:32:56%20GMT	https://stradarkmond.litrix.dev/wp-content/themes/hello-elementor/assets/css/header-footer.css?ver=3.4.5	C:/My%20Web%20Sites/StrakArmond/stradarkmond.litrix.dev/wp-content/themes/hello-elementor/assets/css/header-footer4c8b.css	(from https://stradarkmond.litrix.dev/)
